Code,Name,Credits,Prerequisites,Description
INTD-3355,"RESEARCH METHODS IN LIBRARIES"
EDFU-3007,"SOCIAL FOUNDATIONS OF EDUCATION"
EDFU-3011,"FOUNDATIONS OF HUMAN DEVELOPMENT"
EDFU-3012,"FOUNDATIONS OF EDUCATIONAL PSYCHOLOGY"
EDFU-3017,"EVALUATION OF LEARNING"
EDFU-3055,"LEGAL FOUNDATIONS OF EDUCATION"
EDFU-4006,"THE CHILD AND HIS SOCIAL MILIEU"
EDFU-4019,"PHILOSOPHICAL FOUNDATIONS OF EDUCATION"
TEED-3077,"INTEGRATION OF TECHNOLOGY IN EDUCATION WITH DISTANCE AND VIRTUAL TEACHING STRATEGIES"
EDPE-3129,"THE USE OF MICROCOMPUTERS IN THE CLASSROOM"
EDPE-4047,"THEORY AND METHODOLOGY IN THE TEACHING OF COMPUTER TYPING SKILLS"
EDPE-4059,"THEORY AND METHODOLOGY IN THE TEACHING OF BUSINESS SUBJECTS AND COMPUTER TYPING SKILLS IN SECONDARY SCHOOL"
EDPE-4060,"CURRICULUM AND METHODOLOGY OF THE INTEGRATION OF TECHNOLOGY IN EDUCATION"
EDPE-4135,"THEORY AND METHODOLOGY IN THE TEACHING OF SCIENCE IN SECONDARY SCHOOL"
EDPE-4136,"STUDENT TEACHING OF GENERAL SCIENCE IN SECONDARY SCHOOL"
EDPE-4145,"THEORY METHODOLOGY TEACHING MATHEMATICS SECONDARY SCHOOL"
EDPE-4155,"THEORY AND METHODOLOGY IN THE TEACHING OF HISTORY AND SOCIAL STUDIES IN SECONDARY SCHOOL"
EDPE-4165,"THEORY AND METHODOLOGY IN THE TEACHING OF ART (K-12)"
EDPE-4215,"THEORY AND METHODOLOGY IN THE TEACHING OF PHYSICAL EDUCATION IN K TO 12"
EDPE-4218,"THEORY AND METHODOLOGY IN TEACHING ELEMENTARY PHYSICAL EDUCATION"
EDPE-4235,"METHODOLOGY TEACHING SPANISH SECOND LANGUAGE"
EDPE-4245,"THEORY AND METHODOLOGY IN THE TEACHING OF ENGLISH (K-12)"
EDPE-4137,"PRACTICUM IN TEACHING BIOLOGY IN SECONDARY SCHOOL"
EDPE-4138,"PRACTICUM IN TEACHING OF GENERAL PHYSICS IN SECONDARY SCHOOL"
EDPE-4139,"PRACTICUM TEACHING OF GENERAL CHEMISTRY SECONDARY SCHOOL"
EDPE-4146,"STUDENT TEACHING OF MATHEMATICS IN SECONDARY SCHOOL"
EDPE-4156,"STUDENT TEACHING OF SOCIAL STUDIES IN SECONDARY SCHOOL"
EDPE-4157,"PRACTICUM IN TEACHING GENERAL HISTORY IN SECONDARY SCHOOL"
EDPE-4166,"PRACTICUM IN TEACHING OF ART IN K-12 SCHOOL"
EDPE-4186,"PRACTICUM TEACHING OF THEATER IN K-12 SCHOOL"
EDPE-4187,"PRACTICUM IN TEACHING OF BUSINESS EDUCATION IN SECONDARY SCHOOL"
EDPE-4216,"PRACTICUM IN TEACHING PHYSICAL EDUCATION"
EDPE-4236,"PRACTICAL IN TEACHING OF SPANISH IN SECONDARY SCHOOL"
EDPE-4246,"STUDENT TEACHING OF ENGLISH IN SECONDARY SCHOOL"
EDPE-4301,"MONTESSORI GENERAL METHODOLOGY FOR PREADOLESCENTS AND ADOLESCENTS"
EDPE-4302,"CONTENT AND APPLIED METHODOLOGY IN MONTESSORI SECONDARY EDUCATION WITH THE INTEGRATION OF MATHEMATICS, LANGUAGE, HISTORY, GEOGRAPHY, ARTS, AND MOVEMENT"
EDUC-3005,"FOUNDATIONS OF THE MONTESSORI TEACHING PHILOSOPHY"
EDUC-3006,"INTEGRATION OF MONTESSORI CURRICULUM AND EFFECTIVELY MANAGEMENT OF LEARNING ENVIRONMENTS FOR PREADOLESCENTS AND ADOLESCENTS"
EDUC-3007,"OBSERVATION AND ASSESSMENT OF PREADOLESCENTS AND ADOLESCENTS IN MONTESSORI EDUCATION"
EDUC-5005,"INTRODUCTION TO THE STEAM TEACHING STRATEGY"
EDUC-5006,"LEARNING NEUROLOGY"
EDUC-5007,"EDUCATIONAL RESEARCH FOR MONTESSORI TEACHERS"
EDUC-3077,"INTEGRATION OF TECHNOLOGY IN EDUCATION WITH DISTANCE AND VIRTUAL TEACHING STRATEGIES"
TEED-5007,"CREATING ONLINE COURSES"
TEED-5008,"DESIGN AND CREATION OF EDUCATIONAL MATERIALS FOR ONLINE COURSES"
TEED-5015,"ADVANCED STRATEGIES FOR ONLINE COURSES"
TEED-5016,"LEARNING MANAGEMENT SYSTEM ONLINE COURSES PRACTICUM"
TEED-5017,"DISTANCE EDUCATION TRENDS"
UNIV-3005,"INTRODUCTION TO THE UNIVERSITY WAY OF LIFE"
UNIV-4000,"EXCHANGE PROGRAM"
CITA-3015,"INTRODUCTION TO FOOD SCIENCE"
CITA-4055,"SEMINAR"
CITA-4305,"NUTRITION AND FOOD TECNOLOGY"
CITA-4995,"SUPERVISED PROFESSIONAL OCCUPATIONAL EXPERIENCE FOR COOP PLAN STUDENTS"
CITA-4997,"FOOD SCIENCE PRACTICUM"
CITA-4999,"UNDERGRADUATE RESEARCH"
CITA-5005,"QUALITY CONTROL IN THE FOOD INDUSTRY"
CITA-5006,"QUALITY AND SAFETY MANAGEMENT IN FOOD PROCESSING"
CITA-5007,"FOOD INDUSTRY LAWS AND REGULATIONS"
CITA-5010,"CULINOLOGY"
CITA-5995,"SPECIAL PROBLEMS IN FOOD SCIENCE AND TECHNOLOGY"
CITA-5996,"SPECIAL PROBLEMS IN FOOD SCIENCE AND TECHNOLOGY II"
CITA-5997,"SELECTED TOPICS IN FOOD SCIENCE AND TECHNOLOGY I"
CITA-5998,"SELECTED TOPICS IN FOOD SCIENCE AND TECHNOLOGY II"
ECAG-3005,"PRINCIPLES OF AGRICULTURAL ECONOMIC ANALYSIS"
ECAG-3007,"INTRODUCTION TO THE USE OF COMPUTERS IN THE AGRICULTURAL SCIENCES"
ECAG-3015,"AGRICULTURAL LAW"
ECAG-4005,"AGRICULTURAL ECONOMICS PRACTICUM"
ECAG-4006,"INTRODUCTION TO CONSUMER ECONOMICS"
ECAG-4007,"MARKETING OF AGRICULTURAL PRODUCTS"
ECAG-4009,"COOPERATIVE ENTERPRISES"
ECAG-4015,"INTRODUCTION TO RESOURCE ECONOMICS"
ECAG-4017,"SPECIAL PROBLEMS IN AGRICULTURAL ECONOMICS"
ECAG-4019,"FARM MANAGEMENT AND ACCOUNTING"
ECAG-4025,"SEMINAR"
ECAG-4026,"INTRODUCTION TO RURAL SOCIOLOGY"
ECAG-4027,"PRINCIPLES OF COMMUNITY ORGANIZATION"
ECAG-4028,"AGRICULTURAL FINANCE"
ECAG-4029,"AGRIBUSINESS MANAGEMENT"
ECAG-4035,"FARM APPRAISAL"
ECAG-4991,"AGRICULTURAL ECONOMIC INTERNSHIP"
ECAG-4993,"SELECTED TOPICS I"
ECAG-4994,"SELECTED TOPICS II"
ECAG-4997,"SUPERVISED PROFESSIONAL OCCUPATIONAL EXPERIENCE FOR COOP STUDENTS"
ECAG-5006,"FEASIBILITY STUDIES OF AGRICULTURAL ENTERPRISES"
EDAG-3005,"AGRICULTURAL ORIENTATION"
EDAG-3006,"INTRODUCTORY INTERNATIONAL AGRICULTURE"
EDAG-4005,"METHODS IN TEACHING VOCATIONAL AGRICULTURE"
EDAG-4006,"CURRICULUM DEVELOPMENT"
EDAG-4007,"ORGANIZATION AND ADMINISTRATION IN VOCATIONAL AGRICULTURE"
EDAG-4008,"SUPERVISED OCCUPATIONAL EXPERIENCE PROGRAMS"
EDAG-4009,"TEACHING YOUNG AND ADULT FARMERS"
EDAG-4015,"YOUTH ORGANIZATION AND PROGRAMS"
EDAG-4016,"AUDIOVISUAL MEDIA IN TEACHING VOCATIONAL AGRICULTURE"
EDAG-4017,"SEMINAR"
EDAG-4018,"TEACHING PRACTICE I"
EDAG-4019,"TEACHING PRACTICE II"
EDAG-4025,"EVALUATION OF STUDENTS IN VOCATIONAL AGRICULTURE"
EDAG-4026,"SUPERVISION IN AGRICULTURAL EXTENSION AND VOCATIONAL AGRICULTURE"
EDAG-4030,"STUDY TOUR IN AGRICULTURE AND NATURAL RESOURCES"
EXAG-4005,"EXTENSION PHILOSOPHY AND OBJECTIVES"
EXAG-4006,"TEACHING METHODS AND TECHNIQUES IN EXTENSION"
EXAG-4007,"AGRICULTURAL EXTENSION PRACTICUM"
EXAG-4008,"SPECIAL PROBLEMS IN EXTENSION"
EXAG-4009,"SEMINAR IN EXTENSION EDUCATION"
EXAG-4015,"INTRODUCTION TO AGRICULTURAL COMMUNICATION"
EXAG-4016,"GROUP DYNAMICS AND LEADERSHIP"
INAG-4418,"COMPUTER AIDED DESIGN IN AGRICULTURE"
INAG-4990,"SELECTED TOPICS IN AGRICULTURAL ENGINEERING"
INAG-4996,"AGRICULTURAL ENGINEERING PROJECTS"
SAGA-3016,"COMPUTING AND COMMUNICATION IN AGRICULTURAL AND ENVIRONMENTAL SYSTEMS"
SAGA-4005,"FARM ELECTRIFICATION"
SAGA-4007,"METALWORKING AND WELDING"
SAGA-4008,"AGRICULTURAL AND ENVIRONMENTAL SYSTEMS PRACTICUM"
SAGA-4009,"MECHANICAL POWER IN AGRICULTURE"
SAGA-4010,"AGRICULTURAL AND ENVIRONMENTAL SYSTEMS INTERNSHIP"
SAGA-4015,"AGRICULTURAL MACHINERY I"
SAGA-4017,"SAFETY IN AGRICULTURE"
SAGA-4019,"FARM DRAINAGE AND IRRIGATION"
SAGA-4028,"AGRICULTURAL STRUCTURES"
SAGA-4029,"AGRICULTURAL PRODUCTS PROCESSING"
SAGA-4035,"SOIL AND WATER MANAGEMENT"
SAGA-4036,"SEMINAR IN AGRICULTURAL AND ENVIRONMENTAL SYSTEMS"
SAGA-4037,"SEMINAR IN AGRICULTURAL AND ENVIRONMENTAL SYSTEMS"
SAGA-4038,"AGRICULTURAL HYDROLOGY"
SAGA-4039,"AGRICULTURAL WASTE MANAGEMENT"
SAGA-4041,"AGRICULTURAL TRACTORS AND MACHINERY"
SAGA-4048,"FARM BUILDINGS"
SAGA-4105,"FERMENTATION BIOTECHNOLOGY"
SAGA-4129,"AGRICULTURAL PRODUCTS PROCESSING"
SAGA-4216,"AGRICULTURAL MACHINERY II"
SAGA-4226,"MECHANIZED MILKING SYSTEMS"
SAGA-4245,"HYDRAULIC AND PNEUMATIC SYSTEMS IN AGRICULTURE"
SAGA-4319,"FARM DRAINAGE AND IRRIGATION"
SAGA-4335,"SOIL AND WATER MANAGEMENT"
SAGA-4501,"RENEWABLE ENERGY IN AGRICULTURE"
SAGA-4505,"ELECTROTECHNOLOGY"
SAGA-4990,"SUPERVISED PROFESSIONAL OCCUPATIONAL EXPERIENCE FOR CO-OP STUDENTS"
SAGA-4991,"SPECIAL PROBLEMS"
SAGA-4992,"SPECIAL PROBLEMS"
INAG-5990,"SELECTED TOPICS"
SAGA-5005,"EQUIPMENT FOR APPLICATION OF CHEMICAL AND BIOLOGICAL PRODUCTS"
SAGA-5006,"MANAGEMENT OF AGRICULTURAL MACHINERY"
SAGA-5007,"ADVANCED SOIL AND WATER MANAGEMENT"
SAGA-5008,"GEOGRAPHIC INFORMATION SYSTEM IN NATURAL RESOURCES MANAGEMENT"
SAGA-5016,"ANAEROBIC DIGESTION OF AGRICULTURAL WASTE"
SAGA-5030,"PRECISION AGRICULTURE TECHNOLOGIES"
SAGA-5125,"FOOD PACKAGING"
SAGA-5126,"FOOD SAFETY"
SAGA-5315,"MICRO-IRRIGATION SYSTEMS"
SAGA-5317,"AGROCLIMATOLOGY"
SAGA-5991,"SELECTED TOPICS"
SAGA-5995,"PROBLEMS IN MECHANIZED AGRICULTURE"
AGRO-3010,"INTRODUCTION TO WETLAND ECOSYSTEMS"
AGRO-3011,"FUNDAMENTALS OF SOIL SCIENCES"
AGRO-3013,"SOIL SCIENCES LABORATORY"
AGRO-4005,"SOIL CONSERVATION"
AGRO-4007,"SOIL MICROBIOLOGY"
AGRO-4008,"TROPICAL CEREALS AND LEGUMES"
AGRO-4010,"SILVICULTURE"
AGRO-4018,"PHYSICAL AND CHEMICAL PROPERTIES OF SOILS"
AGRO-4019,"SEMINAR"
AGRO-4025,"SEMINAR"
AGRO-4026,"CROP ECOLOGY"
AGRO-4029,"MANAGEMENT OF TROPICAL SOILS"
AGRO-4035,"INTRODUCTION TO CONSERVATION OF NATURAL RESOURCES"
AGRO-4037,"SOIL FERTILITY AND FERTILIZERS"
AGRO-4038,"AGRONOMY AND SOILS PRACTICUM"
AGRO-4045,"MINERAL NUTRITION IN PLANTS"
AGRO-4046,"AGROSTOLOGY AND FORAGE AND PASTURE MANAGEMENT"
AGRO-4057,"SOIL, PLANT, AND WATER CHEMICAL ANALYSIS"
HORT-4066,"TURFGRASS MANAGEMENT"
AGRO-4990,"SELECTED TOPICS IN AGRONOMY AND SOILS"
AGRO-4995,"SUPERVISED PROFESSIONAL OCCUPATIONAL EXPERIENCE FOR COOP STUDENTS"
AGRO-5005,"BIOMETRICS"
AGRO-5006,"GENESIS, MORPHOLOGY AND CLASSIFICATION OF SOILS"
AGRO-5007,"SOIL PHYSICS"
AGRO-5008,"SOILS OF PUERTO RICO"
AGRO-5010,"MANAGEMENT OF NATURAL FORESTS"
AGRO-5015,"CONSERVATION, MANAGEMENT AND DEVELOPMENT OF NATURAL RESOURCES"
AGRO-5501,"AGRICULTURAL BIOTECHNOLOGY"
AGRO-5502,"AGRICULTURAL BIOTECHNOLOGY LABORATORY"
CFIT-3005,"FUNDAMENTALS OF CROP PRODUCTION"
CFIT-4005,"PHYSIOLOGICAL PRINCIPLES OF CROP PRODUCTION"
CFIT-4007,"PLANT BREEDING"
CFIT-5006,"PHYTOREMEDIATION"
PROC-4006,"TROPICAL PHYTOPATHOLOGY"
PROC-4008,"AGRICULTURAL ENTOMOLOGY"
PROC-4016,"AGRICULTURAL BACTERIOLOGY"
PROC-4017,"WEED CONTROL"
PROC-4018,"INTRODUCTION TO AGRONEMATOLOGY"
PROC-4019,"PESTICIDES AND THEIR USE IN AGRICULTURE"
PROC-4025,"CROP PROTECTION PRACTICUM"
PROC-4026,"SEMINAR"
PROC-4030,"INTRODUCTION TO INTEGRATED PEST MANAGEMENT"
PROC-4035,"PLANT BIOSECURITY SEMINAR"
PROC-4993,"SELECTED TOPICS I"
PROC-4995,"SPECIAL PROBLEMS"
PROC-4996,"SPECIAL PROBLEMS"
PROC-4997,"SUPERVISED PROFESSIONAL OCCUPATIONAL EXPERIENCE FOR COOP STUDENTS"
PROC-5005,"PHYTOPATHOGENIC FUNGI"
PROC-5006,"INSECTS OF TROPICAL CROPS"
HORT-3005,"PLANT PROPAGATION"
HORT-3015,"COMMERCIAL PRODUCTION OF HERBACEOUS ORNAMENTALS"
HORT-3025,"ORCHIDOLOGY"
HORT-4005,"ORNAMENTAL HORTICULTURE"
HORT-4006,"HORTICULTURE PRACTICUM"
HORT-4008,"VEGETABLE CROPS"
HORT-4009,"HORTICULTURAL CROPS"
HORT-4014,"PLANTS FOR THE LANDSCAPE"
HORT-4015,"TROPICAL FRUIT CULTURE I"
HORT-4016,"PRINCIPLES OF LANDSCAPE DESIGN"
HORT-4025,"FLORICULTURE"
HORT-4026,"NURSERY MANAGEMENT"
HORT-4027,"FLOWER ARRANGEMENT"
HORT-4028,"SEMINAR"
HORT-4029,"COFFEE"
HORT-4030,"POSTHARVEST TECHNOLOGY OF HORTICULTURAL CROPS"
HORT-4035,"TROPICAL FRUITS CULTURE II"
HORT-4037,"PRINCIPLES OF FRUIT AND VEGETABLE PRESERVATION"
HORT-4045,"STARCHY CROPS"
HORT-4046,"INTRODUCTION TO ORGANIC CROPS"
HORT-4047,"PLANT MICROPROPAGATION"
HORT-4048,"CROP PRODUCTION IN HYDROPONICS SYSTEMS"
HORT-4055,"AROMATIC PLANTS"
HORT-4995,"SUPERVISED PROFESSIONAL OCCUPATIONAL EXPERIENCE FOR COOP STUDENTS"
HORT-4996,"SELECTED TOPICS I"
HORT-4997,"SELECTED TOPICS II"
HORT-5005,"ADVANCED FLORICULTURE"
HORT-5006,"ADVANCED VEGETABLE GARDENING"
HORT-5015,"HORTICULTURE OF TEMPERATE ZONES"
CIAN-3011,"FUNDAMENTALS OF ANIMAL SCIENCE"
CIAN-3012,"LABORATORY OF PRACTICES IN ANIMAL SCIENCE"
CIAN-3015,"FUNDAMENTALS OF PHYSIOLOGY, MANAGEMENT AND CARE OF COMPANION ANIMALS"
CIAN-3017,"RABBIT PRODUCTION"
CIAN-4005,"VETERINARY PHYSIOLOGY"
CIAN-4006,"REPRODUCTIVE PHYSIOLOGY OF FARM ANIMALS"
CIAN-4007,"ANIMAL SCIENCE PRACTICUM"
CIAN-4008,"MILK AND MILK PRODUCTS"
CIAN-4009,"MARKET MILK"
CIAN-4010,"ANIMAL FEEDING AND NUTRITION"
CIAN-4015,"FARM ANIMAL ECTOPARASITES"
CIAN-4016,"BEEKEEPING"
CIAN-4017,"POULTRY PRODUCTION"
CIAN-4018,"PHYSIOLOGY OF LACTATION"
CIAN-4019,"ANIMAL BREEDING"
CIAN-4025,"DAIRY CATTLE AND MILK PRODUCTION"
CIAN-4026,"SPECIAL PROBLEMS"
CIAN-4027,"SPECIAL PROBLEMS"
CIAN-4028,"INTRODUCTION TO HORSE PRODUCTION"
CIAN-4029,"SWINE AND PORK PRODUCTION"
CIAN-4030,"COMPANION ANIMAL DISEASES"
CIAN-4035,"BEEF PRODUCTION"
CIAN-4036,"DISEASES OF FARM ANIMALS"
CIAN-4037,"SEMINAR"
CIAN-4038,"SEMINAR"
CIAN-4039,"SMALL RUMIANT PRODUCTION"
CIAN-4040,"BEHAVIOR OF FARM ANIMALS"
CIAN-4046,"DAIRY RECORDS"
CIAN-4050,"INTRODUCTION TO AQUACULTURE"
CIAN-4105,"DOMESTIC ANIMAL CELL PHYSIOLOGY"
CIAN-4357,"CIAN 4357"
CIAN-4991,"SELECTED TOPICS IN ANIMAL SCIENCES I"
CIAN-4995,"ANIMAL SCIENCE INTERNSHIP"
CIAN-4997,"SUPERVISED PROFESSIONAL OCCUPATIONAL EXPERIENCE FOR COOP STUDENTS"
CIAN-5005,"USE OF ORGANIC BY-PRODUCTS IN ANIMAL NUTRITION"
CIAN-5045,"ENVIRONMENT AND MANAGEMENT OF FARM ANIMALS"
CIAN-5346,"DAIRY BY-PRODUCTS"
CIAN-5350,"VETERINARY CLINICAL PARASITOLOGY"
CIAN-5355,"ADVANCED BEEKEEPING"
CIAN-5357,"SCIENCE AND TECHNOLOGY OF FRESH MEATS"
CIAN-5359,"BIOSECURITY AND DISEASE CONTROL"
CIAN-5365,"GASTROINTESTINAL MICROBIOLOGY OF DOMESTIC ANIMALS"
CINE-3005,"WRITING THE SHORT FILM"
CINE-3025,"SPECIAL TOPICS"
CINE-4001,"FILM HISTORY TO 1950"
CINE-4002,"FILM HISTORY FROM 1950"
CINE-4005,"FILM THEORY"
CINE-4015,"DIGITAL VIDEOMAKING"
CINE-4016,"FILM PRODUCTION: THE CREATIVE DOCUMENTARY"
CINE-4017,"FILM PRODUCTION: FICTION"
BIND-3005,"INTRODUCTION TO INDUSTRIAL BIOTECHNOLOGY"
BIND-4890,"SEMINAR"
BIND-4905,"PRACTICUM IN INDUSTRIAL BIOTECHNOLOGY"
BIND-5005,"PROJECT IN INDUSTRIAL BIOTECHNOLOGY"
BIND-5006,"ADVANCED INDUSTRIAL BIOTECHNOLOGY"
BIOL-3010,"CELL PHYSIOLOGY"
BIOL-3051,"GENERAL BIOLOGY I"
BIOL-3052,"GENERAL BIOLOGY II"
BIOL-3055,"BIBLIOGRAPHY AND LIBRARY RESEARCH IN BIOLOGICAL SCIENCES"
BIOL-3056,"INTRODUCTION TO FORENSIC MYCOLOGY"
BIOL-3061,"GENERAL BIOLOGY I"
BIOL-3062,"GENERAL BIOLOGY II"
BIOL-3063,"LABORATORY OF GENERAL BIOLOGY I"
BIOL-3064,"LABORATORY OF GENERAL BIOLOGY II"
BIOL-3125,"PRINCIPLES OF ECOLOGY"
BIOL-3146,"ECONOMIC BOTANY"
BIOL-3206,"PRINCIPLES OF MICROSCOPY"
BIOL-3225,"BIOLOGY OF SEX"
BIOL-3300,"GENETICS"
BIOL-3417,"PLANT ORGANISMAL BIOLOGY"
BIOL-3425,"ORGANISMAL ANIMAL BIOLOGY"
BIOL-3435,"ELEMENTARY BOTANY"
BIOL-3715,"ANATOMY AND PHYSIOLOGY"
BIOL-3716,"ANATOMY AND PHYSIOLOGY LABORATORY"
BIOL-3725,"MICROBIOLOGY"
BIOL-3745,"AN INTRODUCTION TO MEDICAL MYCOLOGY"
BIOL-3770,"GENERAL MICROBIOLOGY"
BIOL-3775,"AEROBIOLOGY"
BIOL-3785,"INTRODUCTION TO MYCOLOGY"
BIOL-4005,"HISTORY OF BIOLOGY"
BIOL-4008,"INMUNOLOGY"
BIOL-4015,"GENERAL ZOOLOGY"
BIOL-4016,"HISTOLOGY"
BIOL-4025,"MAN AND THE ECOSYSTEM"
BIOL-4027,"INTRODUCTION TO VERTEBRATE EMBRYOLOGY"
BIOL-4038,"BIOLOGICAL APPLICATIONS OF REMOTE SENSING AND GEOGRAPHICAL INFORMATION SYSTEMS"
BIOL-4039,"PLANT BIOTECHNOLOGY"
BIOL-4327,"GENETICS OF THE EVOLUTIONARY PROCESS"
BIOL-4335,"EVOLUTION"
BIOL-4355,"HUMAN GENETICS"
BIOL-4365,"MICROBIAL ECOLOGY"
BIOL-4366,"FOOD MICROBIOLOGY"
BIOL-4367,"INDUSTRIAL MICROBIOLOGY"
BIOL-4368,"MICROBIAL PHYSIOLOGY"
BIOL-4369,"PRACTICE IN INDUSTRIAL MICROBIOLOGY"
BIOL-4375,"CLINICAL MICROBIOLOGY"
BIOL-4376,"FRESHWATER BIOLOGY"
BIOL-4426,"ANIMAL PARASITOLOGY"
BIOL-4428,"GENERAL ORNITHOLOGY"
BIOL-4446,"INTRODUCTION TO ENTOMOLOGY"
BIOL-4465,"TAXONOMY OF VASCULAR PLANTS"
BIOL-4467,"COMPARATIVE VERTEBRATE ANATOMY"
BIOL-4505,"HUMAN PHYSIOLOGY"
BIOL-4556,"COMPARATIVE VERTEBRATE PHYSIOLOGY"
BIOL-4557,"COMPARATIVE VERTEBRATE PHYSIOLOGY LABORATORY"
BIOL-4607,"MARINE ECOSYSTEMS OF PUERTO RICO"
BIOL-4725,"MICROTECHNIQUE"
BIOL-4735,"MICROBIOLOGY OF WATER AND SEWAGE"
BIOL-4746,"ECONOMIC MYCOLOGY"
BIOL-4761,"HUMAN ANATOMY I"
BIOL-4762,"HUMAN ANATOMY II"
BIOL-4778,"DAIRY BACTERIOLOGY"
BIOL-4901,"SPECIAL PROBLEMS IN BIOLOGY"
BIOL-4902,"SPECIAL PROBLEMS IN BIOLOGY"
BIOL-4925,"SEMINAR"
BIOL-4991,"SPECIAL TOPICS IN BIOLOGY: LAB"
BIOL-4993,"SPECIAL TOPICS IN BIOLOGY I"
BIOL-4994,"SPECIAL TOPICS IN BIOLOGY II"
BIOL-4998,"COOP PRACTICE"
CIBI-3031,"INTRODUCTION TO THE BIOLOGICAL SCIENCES I"
CIBI-3032,"INTRODUCTION TO THE BIOLOGICAL SCIENCES II"
BIOL-5005,"ELEMENTARY PLANT ANATOMY"
BIOL-5007,"GENERAL PLANT MORPHOLOGY"
BIOL-5016,"PLANT EVOLUTION"
BIOL-5018,"PLANT PHYSIOLOGY"
BIOL-5038,"BIOLOGICAL APPLICATIONS OF REMOTE SENSING AND GEOGRAPHICAL INFORMATION SYSTEMS"
BIOL-5045,"SCANNING ELECTRON MICROSCOPY (SEM)"
BIOL-5055,"EUKARYOTIC MOLECULAR GENETICS"
BIOL-5056,"EUKARYOTIC MOLECULAR GENETICS LABORATORY"
BIOL-5057,"INTRODUCTION TO BIOLOGICAL SEQUENCE ANALYSIS"
BIOL-5116,"MOLECULAR BASIS OF EUKARYOTIC CELL SIGNALING"
BIOL-5117,"CELLULAR AND MOLECULAR BIOLOGY OF CANCER"
BIOL-5226,"GENETICS AND EVOLUTION OF HUMAN POPULATIONS"
BIOL-5399,"EUKARYOTIC GENOME ANNOTATION"
BIOL-5416,"HERPETOLOGY"
BIOL-5417,"ICHTHYOLOGY"
BIOL-5585,"MEDICAL AND VETERINARY ENTOMOLOGY"
BIOL-5755,"VIROLOGY"
